p,gap,res_mod30,next_res_mod30
2791,6,1,7
2797,4,7,11
2801,2,11,13
2803,16,13,29
2819,14,29,13
2833,4,13,17
2837,6,17,23
2843,8,23,1
2851,6,1,7
2857,4,7,11
2861,18,11,29
2879,8,29,7
2887,10,7,17
2897,6,17,23
2903,6,23,29
2909,8,29,7
2917,10,7,17
2927,12,17,29
2939,14,29,13
2953,4,13,17
2957,6,17,23
2963,6,23,29
2969,2,29,1
2971,28,1,29
2999,2,29,1
3001,10,1,11
3011,8,11,19
3019,4,19,23
3023,14,23,7
3037,4,7,11
3041,8,11,19
3049,12,19,1
3061,6,1,7
3067,12,7,19
3079,4,19,23
3083,6,23,29
3089,20,29,19
3109,10,19,29
3119,2,29,1
3121,16,1,17
3137,26,17,13
3163,4,13,17
3167,2,17,19
3169,12,19,1
3181,6,1,7
3187,4,7,11
3191,12,11,23
3203,6,23,29
3209,8,29,7
3217,4,7,11
3221,8,11,19
3229,22,19,11
3251,2,11,13
3253,4,13,17
3257,2,17,19
3259,12,19,1
3271,28,1,29
3299,2,29,1
3301,6,1,7
3307,6,7,13
3313,6,13,19
3319,4,19,23
3323,6,23,29
3329,2,29,1
3331,12,1,13
3343,4,13,17
3347,12,17,29
3359,2,29,1
3361,10,1,11
3371,2,11,13
3373,16,13,29
3389,2,29,1
3391,16,1,17
3407,6,17,23
3413,20,23,13
3433,16,13,29
3449,8,29,7
3457,4,7,11
3461,2,11,13
3463,4,13,17
3467,2,17,19
3469,22,19,11
3491,8,11,19
3499,12,19,1
3511,6,1,7
3517,10,7,17
3527,2,17,19
3529,4,19,23
3533,6,23,29
3539,2,29,1
3541,6,1,7
3547,10,7,17
3557,2,17,19
3559,12,19,1
3571,10,1,11
3581,2,11,13
3583,10,13,23
3593,14,23,7
3607,6,7,13
3613,4,13,17
3617,6,17,23
3623,8,23,1
3631,6,1,7
3637,6,7,13
3643,16,13,29
3659,12,29,11
3671,2,11,13
3673,4,13,17
3677,14,17,1
3691,6,1,7
3697,4,7,11
3701,8,11,19
3709,10,19,29
3719,8,29,7
3727,6,7,13
3733,6,13,19
3739,22,19,11
3761,6,11,17
3767,2,17,19
3769,10,19,29
3779,14,29,13
3793,4,13,17
3797,6,17,23
3803,18,23,11
3821,2,11,13
3823,10,13,23
3833,14,23,7
3847,4,7,11
3851,2,11,13
3853,10,13,23
3863,14,23,7
3877,4,7,11
3881,8,11,19
3889,18,19,7
3907,4,7,11
3911,6,11,17
3917,2,17,19
3919,4,19,23
3923,6,23,29
3929,2,29,1
3931,12,1,13
3943,4,13,17
3947,20,17,7
3967,22,7,29
3989,12,29,11
4001,2,11,13
4003,4,13,17
4007,6,17,23
4013,6,23,29
4019,2,29,1
4021,6,1,7
4027,22,7,29
4049,2,29,1
4051,6,1,7
4057,16,7,23
4073,6,23,29
4079,12,29,11
4091,2,11,13
4093,6,13,19
4099,12,19,1
4111,16,1,17
4127,2,17,19
4129,4,19,23
4133,6,23,29
4139,14,29,13
4153,4,13,17
4157,2,17,19
4159,18,19,7
4177,24,7,1
4201,10,1,11
4211,6,11,17
4217,2,17,19
4219,10,19,29
4229,2,29,1
4231,10,1,11
4241,2,11,13
4243,10,13,23
4253,6,23,29
4259,2,29,1
4261,10,1,11
4271,2,11,13
4273,10,13,23
4283,6,23,29
4289,8,29,7
4297,30,7,7
4327,10,7,17
4337,2,17,19
4339,10,19,29
4349,8,29,7
4357,6,7,13
4363,10,13,23
4373,18,23,11
4391,6,11,17
4397,12,17,29
4409,12,29,11
4421,2,11,13
4423,18,13,1
4441,6,1,7
4447,4,7,11
4451,6,11,17
4457,6,17,23
4463,18,23,11
4481,2,11,13
4483,10,13,23
4493,14,23,7
4507,6,7,13
4513,4,13,17
4517,2,17,19
4519,4,19,23
4523,24,23,17
4547,2,17,19
4549,12,19,1
4561,6,1,7
4567,16,7,23
4583,8,23,1
4591,6,1,7
4597,6,7,13
4603,18,13,1
4621,16,1,17
4637,2,17,19
4639,4,19,23
4643,6,23,29
4649,2,29,1
4651,6,1,7
4657,6,7,13
4663,10,13,23
4673,6,23,29
4679,12,29,11
4691,12,11,23
4703,18,23,11
4721,2,11,13
4723,6,13,19
4729,4,19,23
4733,18,23,11
4751,8,11,19
4759,24,19,13
4783,4,13,17
4787,2,17,19
4789,4,19,23
4793,6,23,29
4799,2,29,1
4801,12,1,13
4813,4,13,17
4817,14,17,1
4831,30,1,1
4861,10,1,11
4871,6,11,17
4877,12,17,29
4889,14,29,13
4903,6,13,19
4909,10,19,29
4919,12,29,11
4931,2,11,13
4933,4,13,17
4937,6,17,23
4943,8,23,1
4951,6,1,7
4957,10,7,17
4967,2,17,19
4969,4,19,23
4973,14,23,7
4987,6,7,13
4993,6,13,19
4999,4,19,23
5003,6,23,29
5009,2,29,1
5011,10,1,11
5021,2,11,13
5023,16,13,29
5039,12,29,11
5051,8,11,19
5059,18,19,7
5077,4,7,11
5081,6,11,17
5087,12,17,29
5099,2,29,1
5101,6,1,7
5107,6,7,13
5113,6,13,19
5119,28,19,17
5147,6,17,23
5153,14,23,7
5167,4,7,11
5171,8,11,19
5179,10,19,29
5189,8,29,7
5197,12,7,19
5209,18,19,7
5227,4,7,11
5231,2,11,13
5233,4,13,17
5237,24,17,11
5261,12,11,23
5273,6,23,29
5279,2,29,1
5281,16,1,17
5297,6,17,23
5303,6,23,29
5309,14,29,13
5323,10,13,23
5333,14,23,7
5347,4,7,11
5351,30,11,11
5381,6,11,17
5387,6,17,23
5393,6,23,29
5399,8,29,7
5407,6,7,13
5413,4,13,17
5417,2,17,19
5419,12,19,1
5431,6,1,7
5437,4,7,11
5441,2,11,13
5443,6,13,19
5449,22,19,11
5471,6,11,17
5477,2,17,19
5479,4,19,23
5483,18,23,11
5501,2,11,13
5503,4,13,17
5507,12,17,29
5519,2,29,1
5521,6,1,7
5527,4,7,11
5531,26,11,7
5557,6,7,13
5563,6,13,19
5569,4,19,23
5573,8,23,1
5581,10,1,11
5591,32,11,13
5623,16,13,29
5639,2,29,1
5641,6,1,7
5647,4,7,11
5651,2,11,13
5653,4,13,17
5657,2,17,19
5659,10,19,29
5669,14,29,13
5683,6,13,19
5689,4,19,23
5693,8,23,1
5701,10,1,11
5711,6,11,17
5717,20,17,7
5737,4,7,11
5741,2,11,13
5743,6,13,19
5749,30,19,19
5779,4,19,23
5783,8,23,1
5791,10,1,11
5801,6,11,17
5807,6,17,23
5813,8,23,1
5821,6,1,7
5827,12,7,19
5839,4,19,23
5843,6,23,29
5849,2,29,1
5851,6,1,7
5857,4,7,11
5861,6,11,17
5867,2,17,19
5869,10,19,29
5879,2,29,1
5881,16,1,17
5897,6,17,23
5903,20,23,13
5923,4,13,17
5927,12,17,29
5939,14,29,13
5953,28,13,11
5981,6,11,17
5987,20,17,7
6007,4,7,11
6011,18,11,29
6029,8,29,7
6037,6,7,13
6043,4,13,17
6047,6,17,23
6053,14,23,7
6067,6,7,13
6073,6,13,19
6079,10,19,29
6089,2,29,1
6091,10,1,11
6101,12,11,23
6113,8,23,1
6121,10,1,11
6131,2,11,13
6133,10,13,23
6143,8,23,1
6151,12,1,13
6163,10,13,23
6173,24,23,17
6197,2,17,19
6199,4,19,23
6203,8,23,1
6211,6,1,7
6217,4,7,11
6221,8,11,19
6229,18,19,7
6247,10,7,17
6257,6,17,23
6263,6,23,29
6269,2,29,1
6271,6,1,7
6277,10,7,17
6287,12,17,29
6299,2,29,1
6301,10,1,11
6311,6,11,17
6317,6,17,23
6323,6,23,29
6329,8,29,7
6337,6,7,13
6343,10,13,23
6353,6,23,29
6359,2,29,1
6361,6,1,7
6367,6,7,13
6373,6,13,19
6379,10,19,29
6389,8,29,7
6397,24,7,1
6421,6,1,7
6427,22,7,29
6449,2,29,1
6451,18,1,19
6469,4,19,23
6473,8,23,1
6481,10,1,11
6491,30,11,11
6521,8,11,19
6529,18,19,7
6547,4,7,11
6551,2,11,13
6553,10,13,23
6563,6,23,29
6569,2,29,1
6571,6,1,7
6577,4,7,11
6581,18,11,29
6599,8,29,7
6607,12,7,19
6619,18,19,7
6637,16,7,23
6653,6,23,29
6659,2,29,1
6661,12,1,13
6673,6,13,19
6679,10,19,29
6689,2,29,1
6691,10,1,11
6701,2,11,13
6703,6,13,19
6709,10,19,29
6719,14,29,13
6733,4,13,17
6737,24,17,11
6761,2,11,13
6763,16,13,29
6779,2,29,1
6781,10,1,11
6791,2,11,13
6793,10,13,23
6803,20,23,13
6823,4,13,17
6827,2,17,19
6829,4,19,23
6833,8,23,1
6841,16,1,17
6857,6,17,23
6863,6,23,29
6869,2,29,1
6871,12,1,13
6883,16,13,29
6899,8,29,7
6907,4,7,11
6911,6,11,17
6917,30,17,17
6947,2,17,19
6949,10,19,29
6959,2,29,1
6961,6,1,7
6967,4,7,11
6971,6,11,17
6977,6,17,23
6983,8,23,1
6991,6,1,7
6997,4,7,11
7001,12,11,23
7013,6,23,29
7019,8,29,7
7027,12,7,19
7039,4,19,23
7043,14,23,7
7057,12,7,19
7069,10,19,29
7079,24,29,23
7103,6,23,29
7109,12,29,11
7121,6,11,17
7127,2,17,19
7129,22,19,11
7151,8,11,19
7159,18,19,7
7177,10,7,17
7187,6,17,23
7193,14,23,7
7207,4,7,11
7211,2,11,13
7213,6,13,19
7219,10,19,29
7229,8,29,7
7237,6,7,13
7243,4,13,17
7247,6,17,23
7253,30,23,23
7283,14,23,7
7297,10,7,17
7307,2,17,19
7309,12,19,1
7321,10,1,11
7331,2,11,13
7333,16,13,29
7349,2,29,1
7351,18,1,19
7369,24,19,13
7393,18,13,1
7411,6,1,7
7417,16,7,23
7433,18,23,11
7451,6,11,17
7457,2,17,19
7459,18,19,7
7477,4,7,11
7481,6,11,17
7487,2,17,19
7489,10,19,29
7499,8,29,7
7507,10,7,17
7517,6,17,23
7523,6,23,29
7529,8,29,7
7537,4,7,11
7541,6,11,17
7547,2,17,19
7549,10,19,29
7559,2,29,1
7561,12,1,13
7573,4,13,17
7577,6,17,23
7583,6,23,29
7589,2,29,1
7591,12,1,13
7603,4,13,17
7607,14,17,1
7621,18,1,19
7639,4,19,23
7643,6,23,29
7649,20,29,19
7669,4,19,23
7673,8,23,1
7681,6,1,7
7687,4,7,11
7691,8,11,19
7699,4,19,23
7703,14,23,7
7717,6,7,13
7723,4,13,17
7727,14,17,1
7741,12,1,13
7753,4,13,17
7757,2,17,19
7759,30,19,19
7789,4,19,23
7793,24,23,17
7817,6,17,23
7823,6,23,29
7829,12,29,11
7841,12,11,23
7853,14,23,7
7867,6,7,13
7873,4,13,17
7877,2,17,19
7879,4,19,23
7883,18,23,11
7901,6,11,17
7907,12,17,29
7919,8,29,7
7927,6,7,13
7933,4,13,17
7937,12,17,29
7949,2,29,1
7951,12,1,13
7963,30,13,13
7993,16,13,29
8009,2,29,1
8011,6,1,7
8017,22,7,29
8039,14,29,13
8053,6,13,19
8059,10,19,29
8069,12,29,11
8081,6,11,17
8087,2,17,19
8089,4,19,23
8093,8,23,1
8101,10,1,11
8111,6,11,17
8117,6,17,23
8123,24,23,17
8147,14,17,1
8161,6,1,7
8167,4,7,11
8171,8,11,19
8179,12,19,1
8191,18,1,19
8209,10,19,29
8219,2,29,1
8221,10,1,11
8231,2,11,13
8233,4,13,17
8237,6,17,23
8243,20,23,13
8263,6,13,19
8269,4,19,23
8273,14,23,7
8287,4,7,11
8291,2,11,13
8293,4,13,17
8297,14,17,1
8311,6,1,7
8317,12,7,19
8329,24,19,13
8353,10,13,23
8363,6,23,29
8369,8,29,7
8377,10,7,17
8387,2,17,19
8389,30,19,19
8419,4,19,23
8423,6,23,29
8429,2,29,1
8431,12,1,13
8443,4,13,17
8447,14,17,1
8461,6,1,7
8467,34,7,11
8501,12,11,23
8513,8,23,1
8521,6,1,7
8527,10,7,17
8537,2,17,19
8539,4,19,23
8543,20,23,13
8563,10,13,23
8573,8,23,1
8581,16,1,17
8597,2,17,19
8599,10,19,29
8609,14,29,13
8623,4,13,17
8627,2,17,19
8629,12,19,1
8641,6,1,7
8647,16,7,23
8663,6,23,29
8669,8,29,7
8677,4,7,11
8681,8,11,19
8689,4,19,23
8693,6,23,29
8699,8,29,7
8707,6,7,13
8713,6,13,19
8719,12,19,1
8731,6,1,7
8737,4,7,11
8741,6,11,17
8747,6,17,23
8753,8,23,1
8761,18,1,19
8779,4,19,23
8783,20,23,13
8803,4,13,17
8807,12,17,29
8819,2,29,1
8821,10,1,11
8831,6,11,17
8837,2,17,19
8839,10,19,29
8849,12,29,11
8861,2,11,13
8863,4,13,17
8867,20,17,7
8887,6,7,13
8893,30,13,13
8923,6,13,19
8929,4,19,23
8933,8,23,1
8941,10,1,11
8951,12,11,23
8963,6,23,29
8969,2,29,1
8971,28,1,29
8999,2,29,1
9001,6,1,7
9007,4,7,11
9011,2,11,13
9013,16,13,29
9029,12,29,11
9041,2,11,13
9043,6,13,19
9049,10,19,29
9059,8,29,7
9067,24,7,1
9091,12,1,13
9103,6,13,19
9109,18,19,7
9127,6,7,13
9133,4,13,17
9137,14,17,1
9151,6,1,7
9157,4,7,11
9161,12,11,23
9173,8,23,1
9181,6,1,7
9187,12,7,19
9199,4,19,23
9203,6,23,29
9209,12,29,11
9221,6,11,17
9227,12,17,29
9239,2,29,1
9241,16,1,17
9257,20,17,7
9277,4,7,11
9281,2,11,13
9283,10,13,23
9293,18,23,11
9311,8,11,19
9319,4,19,23
9323,14,23,7
9337,4,7,11
9341,2,11,13
9343,6,13,19
9349,22,19,11
9371,6,11,17
9377,14,17,1
9391,6,1,7
9397,6,7,13
9403,10,13,23
9413,6,23,29
9419,2,29,1
9421,10,1,11
9431,2,11,13
9433,4,13,17
9437,2,17,19
9439,22,19,11
9461,2,11,13
9463,4,13,17
9467,6,17,23
9473,6,23,29
9479,12,29,11
9491,6,11,17
9497,14,17,1
9511,10,1,11
9521,12,11,23
9533,6,23,29
9539,8,29,7
9547,4,7,11
9551,36,11,17
9587,14,17,1
9601,12,1,13
9613,6,13,19
9619,4,19,23
9623,6,23,29
9629,2,29,1
9631,12,1,13
9643,6,13,19
9649,12,19,1
9661,16,1,17
9677,2,17,19
9679,10,19,29
9689,8,29,7
9697,22,7,29
9719,2,29,1
9721,12,1,13
9733,6,13,19
9739,4,19,23
9743,6,23,29
9749,18,29,17
9767,2,17,19
9769,12,19,1
9781,6,1,7
9787,4,7,11
9791,12,11,23
9803,8,23,1
9811,6,1,7
9817,12,7,19
9829,4,19,23
9833,6,23,29
9839,12,29,11
9851,6,11,17
9857,2,17,19
9859,12,19,1
9871,12,1,13
9883,4,13,17
9887,14,17,1
9901,6,1,7
9907,16,7,23
9923,6,23,29
9929,2,29,1
9931,10,1,11
9941,8,11,19
9949,18,19,7
9967,6,7,13
9973,34,13,17
10007,2,17,19
10009,28,19,17
10037,2,17,19
10039,22,19,11
10061,6,11,17
10067,2,17,19
10069,10,19,29
10079,12,29,11
10091,2,11,13
10093,6,13,19
10099,4,19,23
10103,8,23,1
10111,22,1,23
10133,6,23,29
10139,2,29,1
10141,10,1,11
10151,8,11,19
10159,4,19,23
10163,6,23,29
10169,8,29,7
10177,4,7,11
10181,12,11,23
10193,18,23,11
10211,12,11,23
10223,20,23,13
10243,4,13,17
10247,6,17,23
10253,6,23,29
10259,8,29,7
10267,4,7,11
10271,2,11,13
10273,16,13,29
10289,12,29,11
10301,2,11,13
10303,10,13,23
10313,8,23,1
10321,10,1,11
10331,2,11,13
10333,4,13,17
10337,6,17,23
10343,14,23,7
10357,12,7,19
10369,22,19,11
10391,8,11,19
10399,28,19,17
10427,2,17,19
10429,4,19,23
10433,20,23,13
10453,4,13,17
10457,2,17,19
10459,4,19,23
10463,14,23,7
10477,10,7,17
10487,12,17,29
10499,2,29,1
10501,12,1,13
10513,16,13,29
10529,2,29,1
10531,28,1,29
10559,8,29,7
10567,22,7,29
10589,8,29,7
10597,4,7,11
10601,6,11,17
10607,6,17,23
10613,14,23,7
10627,4,7,11
10631,8,11,19
10639,12,19,1
10651,6,1,7
10657,6,7,13
10663,4,13,17
10667,20,17,7
10687,4,7,11
10691,18,11,29
10709,2,29,1
10711,12,1,13
10723,6,13,19
10729,4,19,23
10733,6,23,29
10739,14,29,13
10753,18,13,1
10771,10,1,11
10781,8,11,19
10789,10,19,29
10799,32,29,1
10831,6,1,7
10837,10,7,17
10847,6,17,23
10853,6,23,29
10859,2,29,1
10861,6,1,7
10867,16,7,23
10883,6,23,29
10889,2,29,1
10891,12,1,13
10903,6,13,19
10909,28,19,17
10937,2,17,19
10939,10,19,29
10949,8,29,7
10957,16,7,23
10973,6,23,29
10979,8,29,7
10987,6,7,13
10993,10,13,23
11003,24,23,17
11027,20,17,7
11047,10,7,17
11057,2,17,19
11059,10,19,29
11069,2,29,1
11071,12,1,13
11083,4,13,17
11087,6,17,23
11093,20,23,13
11113,4,13,17
11117,2,17,19
11119,12,19,1
11131,18,1,19
11149,10,19,29
11159,2,29,1
11161,10,1,11
11171,2,11,13
11173,4,13,17
11177,20,17,7
11197,16,7,23
11213,26,23,19
11239,4,19,23
11243,8,23,1
11251,6,1,7
11257,4,7,11
11261,12,11,23
11273,6,23,29
11279,8,29,7
11287,12,7,19
11299,12,19,1
11311,6,1,7
11317,4,7,11
11321,8,11,19
11329,22,19,11
11351,2,11,13
11353,16,13,29
11369,14,29,13
11383,10,13,23
11393,6,23,29
11399,12,29,11
11411,12,11,23
11423,14,23,7
11437,6,7,13
11443,4,13,17
11447,20,17,7
11467,4,7,11
11471,12,11,23
11483,6,23,29
11489,2,29,1
11491,6,1,7
11497,6,7,13
11503,16,13,29
11519,8,29,7
11527,22,7,29
11549,2,29,1
11551,28,1,29
11579,8,29,7
11587,6,7,13
11593,4,13,17
11597,20,17,7
11617,4,7,11
11621,12,11,23
11633,24,23,17
11657,20,17,7
11677,4,7,11
11681,8,11,19
11689,10,19,29
11699,2,29,1
11701,16,1,17
11717,2,17,19
11719,12,19,1
11731,12,1,13
11743,34,13,17
11777,2,17,19
11779,4,19,23
11783,6,23,29
11789,12,29,11
11801,6,11,17
11807,6,17,23
11813,8,23,1
11821,6,1,7
11827,4,7,11
11831,2,11,13
11833,6,13,19
11839,24,19,13
11863,4,13,17
11867,20,17,7
11887,10,7,17
11897,6,17,23
11903,6,23,29
11909,14,29,13
11923,4,13,17
11927,6,17,23
11933,6,23,29
11939,2,29,1
11941,12,1,13
11953,6,13,19
11959,10,19,29
11969,2,29,1
11971,10,1,11
11981,6,11,17
11987,20,17,7
12007,4,7,11
12011,26,11,7
12037,4,7,11
12041,2,11,13
12043,6,13,19
12049,22,19,11
12071,2,11,13
12073,24,13,7
12097,4,7,11
12101,6,11,17
12107,2,17,19
12109,4,19,23
12113,6,23,29
12119,24,29,23
12143,6,23,29
12149,8,29,7
12157,4,7,11
12161,2,11,13
12163,34,13,17
12197,6,17,23
12203,8,23,1
12211,16,1,17
12227,12,17,29
12239,2,29,1
12241,10,1,11
12251,2,11,13
12253,10,13,23
12263,6,23,29
12269,8,29,7
12277,4,7,11
12281,8,11,19
12289,12,19,1
12301,22,1,23
12323,6,23,29
12329,14,29,13
12343,4,13,17
12347,26,17,13
12373,4,13,17
12377,2,17,19
12379,12,19,1
12391,10,1,11
12401,8,11,19
12409,4,19,23
12413,8,23,1
12421,12,1,13
12433,4,13,17
12437,14,17,1
12451,6,1,7
12457,16,7,23
12473,6,23,29
12479,8,29,7
12487,4,7,11
12491,6,11,17
12497,6,17,23
12503,8,23,1
12511,6,1,7
12517,10,7,17
12527,12,17,29
12539,2,29,1
12541,6,1,7
12547,6,7,13
12553,16,13,29
12569,8,29,7
12577,6,7,13
12583,6,13,19
12589,12,19,1
12601,10,1,11
12611,2,11,13
12613,6,13,19
12619,18,19,7
12637,4,7,11
12641,6,11,17
12647,6,17,23
12653,6,23,29
12659,12,29,11
12671,18,11,29
12689,8,29,7
12697,6,7,13
12703,10,13,23
12713,8,23,1
12721,18,1,19
12739,4,19,23
12743,14,23,7
12757,6,7,13
12763,18,13,1
12781,10,1,11
12791,8,11,19
12799,10,19,29
12809,12,29,11
12821,2,11,13
12823,6,13,19
12829,12,19,1
12841,12,1,13
12853,36,13,19
12889,4,19,23
12893,6,23,29
12899,8,29,7
12907,4,7,11
12911,6,11,17
12917,2,17,19
12919,4,19,23
12923,18,23,11
12941,12,11,23
12953,6,23,29
12959,8,29,7
12967,6,7,13
12973,6,13,19
12979,4,19,23
12983,18,23,11
13001,2,11,13
13003,4,13,17
13007,2,17,19
13009,24,19,13
13033,4,13,17
13037,6,17,23
13043,6,23,29
13049,14,29,13
13063,30,13,13
13093,6,13,19
13099,4,19,23
13103,6,23,29
13109,12,29,11
13121,6,11,17
13127,20,17,7
13147,4,7,11
13151,8,11,19
13159,4,19,23
13163,8,23,1
13171,6,1,7
13177,6,7,13
13183,4,13,17
13187,30,17,17
